,autor,tema,titulo,year
471,Eugenia Falomir-Lockhart,"Cognition, Behavior, and Memory",Effect of an intra hypothalamic gene therapy with IGF 1 on behavioral parameters,2020
472,Macarena Herrera,"Cognition, Behavior, and Memory",Effect of an intra hypothalamic gene therapy with IGF 1 on behavioral parameters,2020
473,María José Bellini,"Cognition, Behavior, and Memory",Effect of an intra hypothalamic gene therapy with IGF 1 on behavioral parameters,2020
474,Matias Schroeder,"Cognition, Behavior, and Memory",Dopaminergic and Noradrenergic systems in memory stabilization: a behavioral tagging approach,2020
475,Camila Fullio,"Cognition, Behavior, and Memory",Dopaminergic and Noradrenergic systems in memory stabilization: a behavioral tagging approach,2020
476,Diego Moncada,"Cognition, Behavior, and Memory",Dopaminergic and Noradrenergic systems in memory stabilization: a behavioral tagging approach,2020
477,Indira Garcia Cordero,"Cognition, Behavior, and Memory",Deficits in metacognition of emotion recognition in dementia,2020
478,Joaquin Migeot,"Cognition, Behavior, and Memory",Deficits in metacognition of emotion recognition in dementia,2020
479,Alexia Aquino,"Cognition, Behavior, and Memory",Deficits in metacognition of emotion recognition in dementia,2020
480,Sol Fittipaldi,"Cognition, Behavior, and Memory",Deficits in metacognition of emotion recognition in dementia,2020
481,Mariano Díaz Rivera,"Cognition, Behavior, and Memory",Deficits in metacognition of emotion recognition in dementia,2020
482,Adolfo Garcia,"Cognition, Behavior, and Memory",Deficits in metacognition of emotion recognition in dementia,2020
483,Agustín Ibañez,"Cognition, Behavior, and Memory",Deficits in metacognition of emotion recognition in dementia,2020
484,Jazmín Grillo Balboa,"Cognition, Behavior, and Memory",Behavioral phenotypic outcomes in juvenile rats following infant maltreatment,2020
485,Ailén Alba Colapietro,"Cognition, Behavior, and Memory",Behavioral phenotypic outcomes in juvenile rats following infant maltreatment,2020
486,Marta Cristina Antonelli,"Cognition, Behavior, and Memory",Behavioral phenotypic outcomes in juvenile rats following infant maltreatment,2020
487,Verónica Pastor,"Cognition, Behavior, and Memory",Behavioral phenotypic outcomes in juvenile rats following infant maltreatment,2020
488,María Eugenia Pallarés,"Cognition, Behavior, and Memory",Behavioral phenotypic outcomes in juvenile rats following infant maltreatment,2020
489,Verónica Adriana Ramírez,"Cognition, Behavior, and Memory",ASSESSMENT OF AUTONOMIC REACTIVITY: COMPARISON OF TWO HEART RATE ANALYTICAL APPROACHES,2020
490,Eliana Ruetti,"Cognition, Behavior, and Memory",ASSESSMENT OF AUTONOMIC REACTIVITY: COMPARISON OF TWO HEART RATE ANALYTICAL APPROACHES,2020
491,Agustina Birba,"Cognition, Behavior, and Memory",Anodal tDCS of the primary motor cortex selectively reduces action processing in ecological discourse,2020
492,Francesca Vitale,"Cognition, Behavior, and Memory",Anodal tDCS of the primary motor cortex selectively reduces action processing in ecological discourse,2020
493,Iván Padrón,"Cognition, Behavior, and Memory",Anodal tDCS of the primary motor cortex selectively reduces action processing in ecological discourse,2020
494,Martín Dottori,"Cognition, Behavior, and Memory",Anodal tDCS of the primary motor cortex selectively reduces action processing in ecological discourse,2020
495,Manuel de Vega,"Cognition, Behavior, and Memory",Anodal tDCS of the primary motor cortex selectively reduces action processing in ecological discourse,2020
496,Máximo Zimerman,"Cognition, Behavior, and Memory",Anodal tDCS of the primary motor cortex selectively reduces action processing in ecological discourse,2020
497,Lucas Sedeño,"Cognition, Behavior, and Memory",Anodal tDCS of the primary motor cortex selectively reduces action processing in ecological discourse,2020
498,Agustín Ibáñez,"Cognition, Behavior, and Memory",Anodal tDCS of the primary motor cortex selectively reduces action processing in ecological discourse,2020
499,Francesca Mariani,"Cognition, Behavior, and Memory",Alcoholic Wernicke-Korsakoff Syndrome in a young adult,2020
500,Laura Bocos,"Cognition, Behavior, and Memory",Alcoholic Wernicke-Korsakoff Syndrome in a young adult,2020
501,Sergio Dansilio,"Cognition, Behavior, and Memory",Alcoholic Wernicke-Korsakoff Syndrome in a young adult,2020
502,Antonella León,"Cognition, Behavior, and Memory",Acute Hippocampal Neutralization of the Neuronal Glycoprotein M6a Impairs Memory Consolidation in an Inhibitory Avoidance Task in Mice,2020
503,Julieta Millán,"Cognition, Behavior, and Memory",Acute Hippocampal Neutralization of the Neuronal Glycoprotein M6a Impairs Memory Consolidation in an Inhibitory Avoidance Task in Mice,2020
504,Gabriela Inés Aparicio,"Cognition, Behavior, and Memory",Acute Hippocampal Neutralization of the Neuronal Glycoprotein M6a Impairs Memory Consolidation in an Inhibitory Avoidance Task in Mice,2020
505,María del Carmen Krawczyk,"Cognition, Behavior, and Memory",Acute Hippocampal Neutralization of the Neuronal Glycoprotein M6a Impairs Memory Consolidation in an Inhibitory Avoidance Task in Mice,2020
506,Mariano Martin Boccia,"Cognition, Behavior, and Memory",Acute Hippocampal Neutralization of the Neuronal Glycoprotein M6a Impairs Memory Consolidation in an Inhibitory Avoidance Task in Mice,2020
507,Camila Scorticati,"Cognition, Behavior, and Memory",Acute Hippocampal Neutralization of the Neuronal Glycoprotein M6a Impairs Memory Consolidation in an Inhibitory Avoidance Task in Mice,2020
508,Soledad Picco,"Cognition, Behavior, and Memory",A highly demanding working memory task reduces the reconsolidation of a threat memory and its biases processing towards threat.,2020
509,Rodrigo Fernandez,"Cognition, Behavior, and Memory",A highly demanding working memory task reduces the reconsolidation of a threat memory and its biases processing towards threat.,2020
510,Maria E. Pedreira,"Cognition, Behavior, and Memory",A highly demanding working memory task reduces the reconsolidation of a threat memory and its biases processing towards threat.,2020
511,Claudio Dario Barrios,Development,Validation of a mouse model of double burden of malnutrition and its interaction with social stress: focus on the long-term effects on neuroinflammation and behavior,2020
512,Amaicha Mara Depino,Development,Validation of a mouse model of double burden of malnutrition and its interaction with social stress: focus on the long-term effects on neuroinflammation and behavior,2020
513,Macarena Varela,Development,Role of brain masculinization in the development of autism-related behaviors in animals prenatally exposed to valproic acid,2020
514,Araceli Seiffe,Development,Role of brain masculinization in the development of autism-related behaviors in animals prenatally exposed to valproic acid,2020
515,Amaicha Mara Depino,Development,Role of brain masculinization in the development of autism-related behaviors in animals prenatally exposed to valproic acid,2020
516,Ritika Sharma,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
517,Camilla Zelgert,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
518,Peter Zimmermann,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
519,Gabriela Berg,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
520,Bibiana Fabre,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
521,Rory Wilson,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
522,Melanie Waldenberger,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
523,James Macdonald,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
524,Theo Bammler,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
525,Martin Frasch,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
526,Silvia Lobmaier,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
527,Marta Antonelli,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
528,Carolina Del Valle Bessone,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
529,José Domingo Luna,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
530,Luciana Cervera,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
531,Daniel Alberto Allemandi,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
532,Daniela Alejandra Quinteros,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
533,Macarena Varela,Development,Role of brain masculinization in the development of autism-related behaviors in animals prenatally exposed to valproic acid,2020
534,Araceli Seiffe,Development,Role of brain masculinization in the development of autism-related behaviors in animals prenatally exposed to valproic acid,2020
535,Amaicha Mara Depino,Development,Role of brain masculinization in the development of autism-related behaviors in animals prenatally exposed to valproic acid,2020
536,Ritika Sharma,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
537,Camilla Zelgert,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
538,Peter Zimmermann,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
539,Gabriela Berg,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
540,Bibiana Fabre,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
541,Rory Wilson,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
542,Melanie Waldenberger,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
543,James Macdonald,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
544,Theo Bammler,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
545,Martin Frasch,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
546,Silvia Lobmaier,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
547,Marta Antonelli,Development,In search of Biomarkers of Maternal Stress: FELICITy Study.,2020
548,Carolina Del Valle Bessone,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
549,José Domingo Luna,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
550,Luciana Cervera,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
551,Daniel Alberto Allemandi,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
552,Daniela Alejandra Quinteros,Development,Development and evaluation of a long-term retinal degeneration model in rabbits using oxidant agents. In vitro and in vivo assays. Preliminary studies.,2020
553,Francisco Cervantes Constantino,Integrative Systems,Flip & pip? Visual attention modulations on auditory encoding are shaped by audiovisual precision but also unimodal uncertainty,2020
554,Thaiz Sánchez-Costa,Integrative Systems,Flip & pip? Visual attention modulations on auditory encoding are shaped by audiovisual precision but also unimodal uncertainty,2020
555,Germán A. Cipriani,Integrative Systems,Flip & pip? Visual attention modulations on auditory encoding are shaped by audiovisual precision but also unimodal uncertainty,2020
556,Alejandra Carboni,Integrative Systems,Flip & pip? Visual attention modulations on auditory encoding are shaped by audiovisual precision but also unimodal uncertainty,2020
557,Mauro Federico Ramírez,Disorders of the Nervous System,Role of the Piriform cortex on the development of social behaviors.,2020
558,Mariana Graciarena,Disorders of the Nervous System,Role of the Piriform cortex on the development of social behaviors.,2020
559,Amaicha Mara Depino,Disorders of the Nervous System,Role of the Piriform cortex on the development of social behaviors.,2020
560,Juan Pablo Beccaria,Disorders of the Nervous System,Reliability and validity of a new Mouse Tic Severity Scale,2020
561,Camila Coll,Disorders of the Nervous System,Reliability and validity of a new Mouse Tic Severity Scale,2020
562,Murer Gustavo,Disorders of the Nervous System,Reliability and validity of a new Mouse Tic Severity Scale,2020
563,Belforte Juan,Disorders of the Nervous System,Reliability and validity of a new Mouse Tic Severity Scale,2020
564,Eliana M Fernandez,Disorders of the Nervous System,"In C. elegans, alterations in neuronal membrane glycoprotein 1 (nmgp-1) impair dauer recovery, egg-laying and chemosensation",2020
565,Yamila B Cutraro,Disorders of the Nervous System,"In C. elegans, alterations in neuronal membrane glycoprotein 1 (nmgp-1) impair dauer recovery, egg-laying and chemosensation",2020
566,Melisa C Monteleone,Disorders of the Nervous System,"In C. elegans, alterations in neuronal membrane glycoprotein 1 (nmgp-1) impair dauer recovery, egg-laying and chemosensation",2020
567,Marcela A Brocco,Disorders of the Nervous System,"In C. elegans, alterations in neuronal membrane glycoprotein 1 (nmgp-1) impair dauer recovery, egg-laying and chemosensation",2020
568,Graciela L Mazzone,Disorders of the Nervous System,Histologic and functional outcome of excitotoxic and traumatic in vivo spinal cord injury models,2020
569,Wendy Moncada Herrera,Disorders of the Nervous System,Histologic and functional outcome of excitotoxic and traumatic in vivo spinal cord injury models,2020
570,Martina Poodts,Disorders of the Nervous System,Histologic and functional outcome of excitotoxic and traumatic in vivo spinal cord injury models,2020
571,Julieta Roncoroni,Disorders of the Nervous System,Histologic and functional outcome of excitotoxic and traumatic in vivo spinal cord injury models,2020
572,Samuel Cockey,Disorders of the Nervous System,Histologic and functional outcome of excitotoxic and traumatic in vivo spinal cord injury models,2020
573,Romina Sierra,Disorders of the Nervous System,Histologic and functional outcome of excitotoxic and traumatic in vivo spinal cord injury models,2020
574,Esteban J Fiore,Disorders of the Nervous System,Histologic and functional outcome of excitotoxic and traumatic in vivo spinal cord injury models,2020
575,Guillermo D Mazzolini,Disorders of the Nervous System,Histologic and functional outcome of excitotoxic and traumatic in vivo spinal cord injury models,2020
576,Vanina Usach,Disorders of the Nervous System,EFFECTS OF LATE BONE MARROW MONONUCLEAR CELL TRANSPLANTATION IN RATS WITH SCIATIC NERVE CRUSH. ANALYSIS OF A POTENTIAL THERAPEUTIC WINDOW,2020
577,Mailin Casadei,Disorders of the Nervous System,EFFECTS OF LATE BONE MARROW MONONUCLEAR CELL TRANSPLANTATION IN RATS WITH SCIATIC NERVE CRUSH. ANALYSIS OF A POTENTIAL THERAPEUTIC WINDOW,2020
578,Gonzalo Piñero,Disorders of the Nervous System,EFFECTS OF LATE BONE MARROW MONONUCLEAR CELL TRANSPLANTATION IN RATS WITH SCIATIC NERVE CRUSH. ANALYSIS OF A POTENTIAL THERAPEUTIC WINDOW,2020
579,Marianella Vence,Disorders of the Nervous System,EFFECTS OF LATE BONE MARROW MONONUCLEAR CELL TRANSPLANTATION IN RATS WITH SCIATIC NERVE CRUSH. ANALYSIS OF A POTENTIAL THERAPEUTIC WINDOW,2020
580,Pablo Brumovsky,Disorders of the Nervous System,EFFECTS OF LATE BONE MARROW MONONUCLEAR CELL TRANSPLANTATION IN RATS WITH SCIATIC NERVE CRUSH. ANALYSIS OF A POTENTIAL THERAPEUTIC WINDOW,2020
581,Patricia Setton-Avruj,Disorders of the Nervous System,EFFECTS OF LATE BONE MARROW MONONUCLEAR CELL TRANSPLANTATION IN RATS WITH SCIATIC NERVE CRUSH. ANALYSIS OF A POTENTIAL THERAPEUTIC WINDOW,2020
582,Camila Coll,Disorders of the Nervous System,Ablation of Nkx2.1 derived striatal interneurons results in Tourette – like phenotypes.,2020
583,Juan Pablo Beccaria,Disorders of the Nervous System,Ablation of Nkx2.1 derived striatal interneurons results in Tourette – like phenotypes.,2020
584,Bárbara Yael Braz,Disorders of the Nervous System,Ablation of Nkx2.1 derived striatal interneurons results in Tourette – like phenotypes.,2020
585,Analía López Díaz,Disorders of the Nervous System,Ablation of Nkx2.1 derived striatal interneurons results in Tourette – like phenotypes.,2020
586,Juan Emilio Belforte,Disorders of the Nervous System,Ablation of Nkx2.1 derived striatal interneurons results in Tourette – like phenotypes.,2020
587,Mario Gustavo Murer,Disorders of the Nervous System,Ablation of Nkx2.1 derived striatal interneurons results in Tourette – like phenotypes.,2020
588,Nuria Campora,Disorders of the Nervous System,Stereoelectroencefalography (iSEEG) signal during altered consciousness (AOC) in epilepsy,2020
589,Brenda Giagante,Disorders of the Nervous System,Stereoelectroencefalography (iSEEG) signal during altered consciousness (AOC) in epilepsy,2020
590,Silvia Oddo,Disorders of the Nervous System,Stereoelectroencefalography (iSEEG) signal during altered consciousness (AOC) in epilepsy,2020
591,Carolina Lomlomjian,Disorders of the Nervous System,Stereoelectroencefalography (iSEEG) signal during altered consciousness (AOC) in epilepsy,2020
592,Alejandro Nasimbera,Disorders of the Nervous System,Stereoelectroencefalography (iSEEG) signal during altered consciousness (AOC) in epilepsy,2020
593,Anilu Daza Restrepo,Disorders of the Nervous System,Stereoelectroencefalography (iSEEG) signal during altered consciousness (AOC) in epilepsy,2020
594,Silvia Kochen,Disorders of the Nervous System,Stereoelectroencefalography (iSEEG) signal during altered consciousness (AOC) in epilepsy,2020
595,Daniela Alejandra Salas,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
596,Magalí Cercato,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
597,Federico Filippin,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
598,María Clara Selles,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
599,Martín Habif,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
600,Tomás Gonzalez Garello,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
601,Anna Salvetti,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
602,Alberto Luis Epstein,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
603,William Klein*,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
604,Sergio Ferreira*,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
605,Diana Alicia Jerusalinsky*,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
606,Natalia Colettis. *corresponding authors o patent owners o inventors,Disorders of the Nervous System,Preventing memory deficit with an AAV vector expressing a single-chain antibody against amyloid β oligomers in animal models of Alzheimers’ disease,2020
607,Ernesto Gonzalez Stivala,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
608,Hernán Kulsgaard,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
609,Micaela Sanzo,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
610,Mariana Bendersky,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
611,Juan Pablo Princich,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
612,Lucía Alba Ferrara,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
613,Ignacio Larrabide,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
614,Silvia Kochen,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
615,Fabián Loidl,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
616,Luciana D'Alessio,Disorders of the Nervous System,"Analysis of temporal structures using MRI, VBM and their histological correlation in patients with surgical resistant temporal epilepsy.",2020
617,Agustina Legaz,Disorders of the Nervous System,Altered neurovisceral responses to social and cognitive stress  in hypertensive disease: a multidimensional approach,2020
618,Adrián Yoris,Disorders of the Nervous System,Altered neurovisceral responses to social and cognitive stress  in hypertensive disease: a multidimensional approach,2020
619,Lucas Sedeño,Disorders of the Nervous System,Altered neurovisceral responses to social and cognitive stress  in hypertensive disease: a multidimensional approach,2020
620,Sofía Abrevaya,Disorders of the Nervous System,Altered neurovisceral responses to social and cognitive stress  in hypertensive disease: a multidimensional approach,2020
621,Miguel Martorell,Disorders of the Nervous System,Altered neurovisceral responses to social and cognitive stress  in hypertensive disease: a multidimensional approach,2020
622,Florencia Alifano,Disorders of the Nervous System,Altered neurovisceral responses to social and cognitive stress  in hypertensive disease: a multidimensional approach,2020
623,Adolfo M. García,Disorders of the Nervous System,Altered neurovisceral responses to social and cognitive stress  in hypertensive disease: a multidimensional approach,2020
624,Agustín Ibañez,Disorders of the Nervous System,Altered neurovisceral responses to social and cognitive stress  in hypertensive disease: a multidimensional approach,2020
625,Mariano N. Díaz-Rivera,Disorders of the Nervous System,Action semantics and the motor system: A neuromodulatory study on Parkinson’s disease patients,2020
626,Diana M.A. Suárez-García,Disorders of the Nervous System,Action semantics and the motor system: A neuromodulatory study on Parkinson’s disease patients,2020
627,Agustina Birba,Disorders of the Nervous System,Action semantics and the motor system: A neuromodulatory study on Parkinson’s disease patients,2020
628,Máximo Zimerman,Disorders of the Nervous System,Action semantics and the motor system: A neuromodulatory study on Parkinson’s disease patients,2020
629,Jesús A. Diazgranados,Disorders of the Nervous System,Action semantics and the motor system: A neuromodulatory study on Parkinson’s disease patients,2020
630,Agustín Ibáñez,Disorders of the Nervous System,Action semantics and the motor system: A neuromodulatory study on Parkinson’s disease patients,2020
631,Johan S. Grisales,Disorders of the Nervous System,Action semantics and the motor system: A neuromodulatory study on Parkinson’s disease patients,2020
632,Juan F. Cardona,Disorders of the Nervous System,Action semantics and the motor system: A neuromodulatory study on Parkinson’s disease patients,2020
633,Adolfo M. García,Disorders of the Nervous System,Action semantics and the motor system: A neuromodulatory study on Parkinson’s disease patients,2020
634,Pedro Ballestero,Disorders of the Nervous System,Yerba mate (Ilex paraguariensis) in a Drosophila model of Parkinson´s disease: Can it protect synaptic connections?,2020
635,Sebastian Romano,Disorders of the Nervous System,Yerba mate (Ilex paraguariensis) in a Drosophila model of Parkinson´s disease: Can it protect synaptic connections?,2020
636,Hernan Hauche P.,Disorders of the Nervous System,Yerba mate (Ilex paraguariensis) in a Drosophila model of Parkinson´s disease: Can it protect synaptic connections?,2020
637,Roy Rivero,Disorders of the Nervous System,Yerba mate (Ilex paraguariensis) in a Drosophila model of Parkinson´s disease: Can it protect synaptic connections?,2020
638,Irene Taravini,Disorders of the Nervous System,Yerba mate (Ilex paraguariensis) in a Drosophila model of Parkinson´s disease: Can it protect synaptic connections?,2020
639,Oscar Gershanik,Disorders of the Nervous System,Yerba mate (Ilex paraguariensis) in a Drosophila model of Parkinson´s disease: Can it protect synaptic connections?,2020
640,Melina Bordone,Disorders of the Nervous System,Yerba mate (Ilex paraguariensis) in a Drosophila model of Parkinson´s disease: Can it protect synaptic connections?,2020
641,Nara Muraro*,Disorders of the Nervous System,Yerba mate (Ilex paraguariensis) in a Drosophila model of Parkinson´s disease: Can it protect synaptic connections?,2020
642,Juan Ferrario*. *Shared corresponding authors,Disorders of the Nervous System,Yerba mate (Ilex paraguariensis) in a Drosophila model of Parkinson´s disease: Can it protect synaptic connections?,2020
643,Agostina Stahl,Disorders of the Nervous System,Role of striatal somatostatinergic interneurons in Parkinson’s disease motor symptoms and L-dopa-induced dyskinesias,2020
644,Verónica Risso,Disorders of the Nervous System,Role of striatal somatostatinergic interneurons in Parkinson’s disease motor symptoms and L-dopa-induced dyskinesias,2020
645,Juan Belforte,Disorders of the Nervous System,Role of striatal somatostatinergic interneurons in Parkinson’s disease motor symptoms and L-dopa-induced dyskinesias,2020
646,Lorena Rela,Disorders of the Nervous System,Role of striatal somatostatinergic interneurons in Parkinson’s disease motor symptoms and L-dopa-induced dyskinesias,2020
647,Gustavo Murer,Disorders of the Nervous System,Role of striatal somatostatinergic interneurons in Parkinson’s disease motor symptoms and L-dopa-induced dyskinesias,2020
648,Araceli Seiffe,Disorders of the Nervous System,Neonatal exposure to 17β-benzoate estradiol makes females more similar to males in several autism-relevant behaviors,2020
649,Mauro Federico Ramirez,Disorders of the Nervous System,Neonatal exposure to 17β-benzoate estradiol makes females more similar to males in several autism-relevant behaviors,2020
650,Claudio Barrios,Disorders of the Nervous System,Neonatal exposure to 17β-benzoate estradiol makes females more similar to males in several autism-relevant behaviors,2020
651,María Milagros Albarrán,Disorders of the Nervous System,Neonatal exposure to 17β-benzoate estradiol makes females more similar to males in several autism-relevant behaviors,2020
652,Amaicha Mara Depino,Disorders of the Nervous System,Neonatal exposure to 17β-benzoate estradiol makes females more similar to males in several autism-relevant behaviors,2020
653,Estela Lanza,Neural Circuits and Systems Neuroscience,Visual sensitivity of giant neurons to the size of moving objects in the crab Neohelice granulata.,2020
654,Daniel Tomsic,Neural Circuits and Systems Neuroscience,Visual sensitivity of giant neurons to the size of moving objects in the crab Neohelice granulata.,2020
655,Maria Lucia Fazzito,Neural Circuits and Systems Neuroscience,Mechanisms and predictors of response in treatment- resistant depression,2020
656,Juan José González,Neural Circuits and Systems Neuroscience,Mechanisms and predictors of response in treatment- resistant depression,2020
657,Leticia Fiorentini,Neural Circuits and Systems Neuroscience,Mechanisms and predictors of response in treatment- resistant depression,2020
658,Mirta Fabiana Villarreal,Neural Circuits and Systems Neuroscience,Mechanisms and predictors of response in treatment- resistant depression,2020
659,Salvador Martín Guinjoan,Neural Circuits and Systems Neuroscience,Mechanisms and predictors of response in treatment- resistant depression,2020
660,Tamara S. Adjimann,Neural Circuits and Systems Neuroscience,Developmental impact of SSRI antidepressants on emotional prefrontal circuits in mice,2020
661,Carla V. Argañaraz,Neural Circuits and Systems Neuroscience,Developmental impact of SSRI antidepressants on emotional prefrontal circuits in mice,2020
662,Mariano Soiza-Reilly,Neural Circuits and Systems Neuroscience,Developmental impact of SSRI antidepressants on emotional prefrontal circuits in mice,2020
663,Agustina E. Wainsztein,Neural Circuits and Systems Neuroscience,Central Autonomic Network association with cardiac autonomic sleep-wake rhythm in healthy adults.,2020
664,Vicente Camacho-Téllez,Neural Circuits and Systems Neuroscience,Central Autonomic Network association with cardiac autonomic sleep-wake rhythm in healthy adults.,2020
665,Carolina Abulafia,Neural Circuits and Systems Neuroscience,Central Autonomic Network association with cardiac autonomic sleep-wake rhythm in healthy adults.,2020
666,Mirta Villarreal,Neural Circuits and Systems Neuroscience,Central Autonomic Network association with cardiac autonomic sleep-wake rhythm in healthy adults.,2020
667,Daniel Vigo,Neural Circuits and Systems Neuroscience,Central Autonomic Network association with cardiac autonomic sleep-wake rhythm in healthy adults.,2020
668,Ximena Goldberg,Neural Circuits and Systems Neuroscience,Central Autonomic Network association with cardiac autonomic sleep-wake rhythm in healthy adults.,2020
669,Carles Soriano-Mas,Neural Circuits and Systems Neuroscience,Central Autonomic Network association with cardiac autonomic sleep-wake rhythm in healthy adults.,2020
670,Salvador M. Guinjoan,Neural Circuits and Systems Neuroscience,Central Autonomic Network association with cardiac autonomic sleep-wake rhythm in healthy adults.,2020
671,Mariana Castro,Neural Circuits and Systems Neuroscience,Central Autonomic Network association with cardiac autonomic sleep-wake rhythm in healthy adults.,2020
672,M. Florencia Santos,Neural Circuits and Systems Neuroscience,A project to study how reward and punishment modulate visually evoked responses in the primary visual cortex,2020
673,Camila L. Zold,Neural Circuits and Systems Neuroscience,A project to study how reward and punishment modulate visually evoked responses in the primary visual cortex,2020
674,M Alejandra Prost,Neural Circuits and Systems Neuroscience,Shifting the exploration/exploitation balance using a virtual reality foraging task,2020
675,Gustavo Murer,Neural Circuits and Systems Neuroscience,Shifting the exploration/exploitation balance using a virtual reality foraging task,2020
676,Camila Zold,Neural Circuits and Systems Neuroscience,Shifting the exploration/exploitation balance using a virtual reality foraging task,2020
677,Azul Silva,Neural Circuits and Systems Neuroscience,Remapping of hippocampal place cells in an unrewarded contextual memory task,2020
678,Pedro Bekinschtein,Neural Circuits and Systems Neuroscience,Remapping of hippocampal place cells in an unrewarded contextual memory task,2020
